Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,headline,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol,AssetType
2022-05-19,0.38,1.0,0.022619048,ABR,2022-05-06 11:00:00,DAY,https://www.stockwatch.com/News/Item/U-z8536757-U!ABR-20220506/U/ABR,https://www.stockwatch.com/Quote/Fundamentals?U:ABR,Arbor Realty Trust Reports First Quarter 2022 Results and Increases Quarterly Dividend to $0.38 per Share,17.15,17.35,17.43,16.31,16.8,16.28,1728291.7,Stock
2022-05-19,8.0,1.0,0.056144291,AFG,2022-05-04 20:00:00,AMC,https://www.stockwatch.com/News/Item/U-b20220504006060-U!AFG-20220504/U/AFG,https://www.stockwatch.com/Quote/Fundamentals?U:AFG,"American Financial Group, Inc. Announces First Quarter Results, Redemption of Debt and Declares Special Dividend",145.78,148.46,150.51,139.5,142.49,133.3,272482.35,Stock
2022-05-19,4.5,1.0,0.036302033,AGCO,2022-04-28 15:30:00,DAY,https://www.stockwatch.com/News/Item/U-b20220427005682-U!AGCO-20220428/U/AGCO,https://www.stockwatch.com/Quote/Fundamentals?U:AGCO,AGCO Announces Dividend Actions,127.61,127.31,136.6559,115.88,123.96,118.49,785557.0,Stock
2022-05-31,2.62,1.0,0.031730653,BCC,2022-05-05 19:05:00,AMC,https://www.stockwatch.com/News/Item/U-b20220505006118-U!BCC-20220505/U/BCC,https://www.stockwatch.com/Quote/Fundamentals?U:BCC,Boise Cascade Company Announces Quarterly and Supplemental Dividends,81.67,81.01,84.18,71.485,82.57,80.27,317818.7,Stock
2022-05-05,0.17875,1.0,0.020243488,BKEPP,2022-04-26 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-z8529446-U!BKEP-20220426/U/BKEP,https://www.stockwatch.com/Quote/Fundamentals?U:BKEPP,Blueknight Declares Quarterly Distributions and Announces Timing of First Quarter 2022 Results,8.7405,8.75,8.94,8.75,8.83,8.7,42880.8,Stock
2022-04-14,1.0875353,1.0,0.064503873,BPT,2022-04-06 19:30:00,AMC,https://www.stockwatch.com/News/Item/U-b20220406005982-U!BPT-20220406/U/BPT,https://www.stockwatch.com/Quote/Fundamentals?U:BPT,BP Prudhoe Bay Royalty Trust Announces Record Date and Payment Date for Distribution to Unitholders for the First Quarter of 2022,15.69,16.75,18.39,15.81,16.86,15.43,789337.75,Stock
2022-04-21,1.220464,1.0,0.055856476,BSAC,2022-03-22 21:58:00,AMC,https://www.stockwatch.com/News/Item/U-z8508340-U!BSAC-20220322/U/BSAC,https://www.stockwatch.com/Quote/Fundamentals?U:BSAC,Banco Santander-Chile summons annual shareholders meeting and proposes a dividend of 60% of 2021 net income attributable to shareholders,22.16,22.01,22.84,20.98,21.85,20.88,589196.05,Stock
2022-05-12,0.4,1.0,0.026684456,BSM,2022-04-25 20:00:00,AMC,https://www.stockwatch.com/News/Item/U-b20220425005921-U!BSM-20220425/U/BSM,https://www.stockwatch.com/Quote/Fundamentals?U:BSM,"Black Stone Minerals, L.P. Announces Substantial Distribution Increase and Schedules Earnings Call to Discuss First Quarter 2022 Results",14.66,15.07,16.3499,14.36,14.99,14.5,777059.8,Stock
2022-05-02,0.525,1.0,0.025228256,CAPL,2022-04-21 19:20:00,AMC,https://www.stockwatch.com/News/Item/U-z8526672-U!CAPL-20220421/U/CAPL,https://www.stockwatch.com/Quote/Fundamentals?U:CAPL,CrossAmerica Partners LP Maintains Quarterly Distribution,22.61,22.76,22.84,20.72,20.81,20.0,36284.85,Stock
2022-05-05,0.2111,1.0,0.021496945,CEQP-P,2022-04-14 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-b20220414005720-U!CEQP-20220414/U/CEQP,https://www.stockwatch.com/Quote/Fundamentals?U:CEQP-P,Crestwood Increases Quarterly Distribution and Schedules First Quarter 2022 Earnings Release Date,9.7,9.75,10.0,9.75,9.82,9.72,156825.35,Stock
2022-05-05,0.655,1.0,0.0211495,CEQP,2022-04-14 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-b20220414005720-U!CEQP-20220414/U/CEQP,https://www.stockwatch.com/Quote/Fundamentals?U:CEQP,Crestwood Increases Quarterly Distribution and Schedules First Quarter 2022 Earnings Release Date,31.18,31.2,32.96,28.1,30.97,30.0,715488.85,Stock
2022-05-19,0.054,1.0,0.039130435,CHKR,2022-05-04 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-b20220504006138-U!CHKR-20220504/U/CHKR,https://www.stockwatch.com/Quote/Fundamentals?U:CHKR,Chesapeake Granite Wash Trust Announces Distribution of $0.0540 Per Common Unit,1.39,1.39,1.395,1.22,1.38,1.39,83651.55,Stock
2022-04-18,0.5,1.0,0.031426776,CMRE,2022-04-01 12:20:00,DAY,https://www.stockwatch.com/News/Item/U-z8514628-U!CMRE-20220401/U/CMRE,https://www.stockwatch.com/Quote/Fundamentals?U:CMRE,Costamare Inc. Declares Special and Quarterly Dividend on its Common Stock and Quarterly Dividend on its Preferred Stock,17.15,17.13,17.63,14.57,15.91,15.27,1251135.2,Stock
2022-05-12,0.6,1.0,0.020283976,CTRA,2022-05-02 19:07:00,AMC,https://www.stockwatch.com/News/Item/U-prLA42537-U!CTRA-20220502/U/CTRA,https://www.stockwatch.com/Quote/Fundamentals?U:CTRA,"Coterra Energy Reports First-Quarter 2022 Results, Announces Quarterly Dividend and Provides Update on Share Repurchase Program",28.92,30.49,33.0,28.9,29.58,28.81,8855839.15,Stock
2022-04-29,0.753926,1.0,0.027485454,DMLP,2022-04-21 16:00:00,AMC,https://www.stockwatch.com/News/Item/U-z8526703-U!DMLP-20220421/U/DMLP,https://www.stockwatch.com/Quote/Fundamentals?U:DMLP,"Dorchester Minerals, L.P. Announces Its First Quarter Distribution",25.97,26.06,27.52,24.22,27.43,26.68,99555.05,Stock
2022-04-19,1.490916,1.0,0.077089762,EC,2022-03-31 00:58:00,BMO,https://www.stockwatch.com/News/Item/U-prIN09705-U!EC-20220330/U/EC,https://www.stockwatch.com/Quote/Fundamentals?U:EC,Ecopetrol S.A.: Profit Distribution for Fiscal Year 2021,18.82,18.53,19.81,18.42,19.34,17.9,1543799.6,Stock
2022-05-19,0.094,1.0,0.040274207,ECTM,2022-05-10 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-b20220510006224-U!ECTM-20220510/U/ECTM,https://www.stockwatch.com/Quote/Fundamentals?U:ECTM,ECA Marcellus Trust I Announces Quarterly Distribution,1.91,1.95,2.36,1.86,2.334,2.36,151545.6,Stock
2022-05-31,1.0,1.0,0.023584906,EIG,2022-04-27 19:05:00,AMC,https://www.stockwatch.com/News/Item/U-b20220427005901-U!EIG-20220427/U/EIG,https://www.stockwatch.com/Quote/Fundamentals?U:EIG,"Employers Holdings, Inc. Reports First Quarter 2022 Results; Declares Special Dividend of $1.00 per Share and Increases Regular Quarterly Dividend to $0.26 per Share",41.8,41.96,42.965,38.29,42.4,41.05,122988.95,Stock
2022-04-21,3.3,1.0,0.105566219,EWCZ,2022-04-11 20:51:00,AMC,https://www.stockwatch.com/News/Item/U-z8520470-U!EWCZ-20220411/U/EWCZ,https://www.stockwatch.com/Quote/Fundamentals?U:EWCZ,"European Wax Center, Inc. Announces Special Cash Dividend",29.8,30.9,32.3499,28.52,31.26,28.16,401905.1,Stock
2022-05-11,3.05,1.0,0.02349045,FANG,2022-05-02 19:01:00,AMC,https://www.stockwatch.com/News/Item/U-z8533555-U!FANG-20220502/U/FANG,https://www.stockwatch.com/Quote/Fundamentals?U:FANG,"Diamondback Energy, Inc. Announces First Quarter 2022 Financial and Operating Results; Increases Dividend",127.5,133.87,144.94,125.0,129.84,129.08,1922534.55,Stock
2022-05-13,0.13,1.0,0.021666667,FAT,2022-04-18 09:00:00,BMO,https://www.stockwatch.com/News/Item/U-z8523638-U!FAT-20220418/U/FAT,https://www.stockwatch.com/Quote/Fundamentals?U:FAT,FAT Brands Inc. Announces Second Quarter Cash Dividend on Class A Common Stock and Class B Common Stock,6.06,5.94,6.525,5.4702,6.0,5.9,26196.5,Stock
2022-04-12,0.205,1.0,0.054376658,FINV,2022-03-14 21:31:00,AMC,https://www.stockwatch.com/News/Item/U-prCN90668-U!FINV-20220314/U/FINV,https://www.stockwatch.com/Quote/Fundamentals?U:FINV,"FinVolution Group Announces Dividend of US$ 0.205 per American Depositary Share, Representing Approximately 15% Payout Ratio of Net Income for Fiscal Year 2021",2.94,2.9,4.84,2.77,3.77,3.8,840962.2,Stock
2022-05-17,0.18,1.0,0.024657534,FLMN,2022-05-04 19:15:00,AMC,https://www.stockwatch.com/News/Item/U-b20220504006090-U!FLMN-20220504/U/FLMN,https://www.stockwatch.com/Quote/Fundamentals?U:FLMN,Falcon Minerals Corporation Reports First Quarter 2022 Production and Declares Quarterly Dividend Increase of 24%,7.17,7.42,7.65,6.69,7.3,7.13,728000.15,Stock
