date,time,ticker,headline,link,AvgVol,PrenewsPrice,divAmount,divToPrice,exDivDate,dayDiff
2022-06-16 06:00:00,BMO,KLAC,KLA Corporation Hosts Investor Day; Announces $6 Billion Share Repurchase Program and 24% Increase to Quarterly Dividend; Affirms June 2022 Guidance,https://www.stockwatch.com/News/Item?bid=U-prLA90332-U:KLAC-20220616&symbol=KLAC&region=U&hitwords=per+share+dividends+dividend,1240393.2,323.79,,,,
2022-06-16 07:00:00,BMO,TPRFF,"GCM Mining Announces May 2022 Production; Declares July 15, 2022 Monthly Dividend",https://www.stockwatch.com/News/Item?bid=U-z8573295-U:TPRFF-20220616&symbol=TPRFF&region=U&hitwords=dividends+dividend,54801.8,2.9318,,,,
2022-06-15 16:30:00,AMC,VOYA,"Voya Global Advantage and Premium Opportunity Fund & Voya Infrastructure, Industrials and Materials Fund Declare Quarterly Distributions",https://www.stockwatch.com/News/Item?bid=U-b20220615005671-U:VOYA-20220615&symbol=VOYA&region=U&hitwords=share+distributions+per+dividend+distribution+distributed,1038908.3,60.62,,,,
2022-06-15 16:14:00,AMC,VOYA,Voya Equity Closed End Funds Declare Distributions,https://www.stockwatch.com/News/Item?bid=U-b20220615005670-U:VOYA-20220615&symbol=VOYA&region=U&hitwords=distributions+dividend+dividends+share+distribution+per,1038908.3,60.62,,,,
2022-06-15 16:21:00,AMC,EPR,EPR Properties Declares Monthly Dividend for Common Shareholders and Quarterly Dividends for Preferred Shareholders,https://www.stockwatch.com/News/Item?bid=U-b20220615006006-U:EPR-20220615&symbol=EPR&region=U&hitwords=share+dividends+per+dividend,513655.95,45.65,,,,
2022-06-15 17:00:00,AMC,CVBF,CVB Financial Corp. Announces Increase in Quarterly Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-z8573103-U:CVBF-20220615&symbol=CVBF&region=U&hitwords=share+per+dividend+dividends,887989.6,23.92,,,,
2022-06-15 16:19:00,AMC,WRB,W. R. Berkley Corporation Increases Regular Quarterly Dividend and Declares Special Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-b20220615006084-U:WRB-20220615&symbol=WRB&region=U&hitwords=per+dividends+dividend+share,1344163.75,67.01,,,,
2022-06-15 16:15:00,AMC,RC,READY CAPITAL CORPORATION DECLARES SECOND QUARTER 2022 DIVIDENDS,https://www.stockwatch.com/News/Item?bid=U-prNY89184-U:RC-20220615&symbol=RC&region=U&hitwords=dividend+per+share+dividends,1399229.35,11.67,,,,
2022-06-15 09:57:00,DAY,NFG,National Fuel Increases Dividend Rate for 52nd Consecutive Year,https://www.stockwatch.com/News/Item?bid=U-z8572864-U:NFG-20220615&symbol=NFG&region=U&hitwords=dividends+share+dividend+per,502165.2,68.64,,,,
2022-06-15 16:15:00,AMC,LADR,Ladder Capital Corp Announces 10% Dividend Increase and Second Quarter 2022 Dividend to Holders of Class A Common Stock,https://www.stockwatch.com/News/Item?bid=U-b20220615005816-U:LADR-20220615&symbol=LADR&region=U&hitwords=share+per+dividend,536585.55,9.86,,,,
2022-06-15 10:26:00,DAY,BRT,BRT Apartments Corp. Announces Initiation of Dividend Reinvestment Plan,https://www.stockwatch.com/News/Item?bid=U-z8572889-U:BRT-20220615&symbol=BRT&region=U&hitwords=dividends+per+share+dividend,65003.8,22.01,,,,
2022-06-15 16:30:00,AMC,LFT,"Lument Finance Trust, Inc. Declares Quarterly Cash Dividends for its Common and Preferred Stock",https://www.stockwatch.com/News/Item?bid=U-prNY90550-U:LFT-20220615&symbol=LFT&region=U&hitwords=per+share+dividend+dividends,77805.9,2.29,,,,
2022-06-15 17:30:00,AMC,BXMT,Blackstone Mortgage Trust Declares $0.62 Per Share Dividend,https://www.stockwatch.com/News/Item?bid=U-b20220615006095-U:BXMT-20220615&symbol=BXMT&region=U&hitwords=dividends+dividend+share+per,1264986.7,27.45,,,,
2022-06-15 16:30:00,AMC,FBNC,First Bancorp Announces Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-prCL90732-U:FBNC-20220615&symbol=FBNC&region=U&hitwords=per+share+dividend,124752.65,35.24,,,,
2022-06-15 16:03:00,AMC,SAFE,Safehold Increases Quarterly Stock Dividend by 4.12%,https://www.stockwatch.com/News/Item?bid=U-prNY90627-U:SAFE-20220615&symbol=SAFE&region=U&hitwords=share+per+dividend+dividends,201414.05,36.29,,,,
2022-06-15 16:15:00,AMC,LXP,LXP Industrial Trust Announces Quarterly Common Share Dividend,https://www.stockwatch.com/News/Item?bid=U-z8573067-U:LXP-20220615&symbol=LXP&region=U&hitwords=dividend+per+share+distribution,2243215.5,10.36,,,,
2022-06-15 16:05:00,AMC,BRSP,BrightSpire Capital Announces $0.20 Per Share Dividend for Second Quarter 2022,https://www.stockwatch.com/News/Item?bid=U-b20220615005907-U:BRSP-20220615&symbol=BRSP&region=U&hitwords=per+share+dividend,836282.0,7.49,,,,
2022-06-15 18:03:00,AMC,KREF,KKR Real Estate Finance Trust Inc. Declares Quarterly Dividend of $0.43 Per Share of Common Stock,https://www.stockwatch.com/News/Item?bid=U-b20220615006123-U:KREF-20220615&symbol=KREF&region=U&hitwords=share+per+dividend,1098620.1,17.27,,,,
2022-06-15 16:01:00,AMC,AFCG,AFC Gamma Increases Dividend For Fourth Consecutive Quarter,https://www.stockwatch.com/News/Item?bid=U-z8572937-U:AFCG-20220615&symbol=AFCG&region=U&hitwords=dividend,141681.2,15.69,,,,
